id,ko,en,category,depth,difficulty,tags,enabled
sg11,주님은 나의 목자,The Lord Is My Shepherd,찬양,1,1,찬송;클래식,1
sg12,나 같은 죄인 살리신,Amazing Grace,찬양,1,1,찬송;클래식,1
sg13,내 주되신 주를 참 사랑하고,My Jesus I Love Thee,찬양,2,1,찬송;클래식,1
sg14,예수 사랑하심은,Jesus Loves Me,찬양,1,1,찬송;어린이,1
sg15,거룩 거룩 거룩,Holy Holy Holy,찬양,1,1,찬송;예배,1
sg16,은혜가 풍성한 하나님,God of Abundant Grace,찬양,2,2,CCM;예배,1
sg17,주 하나님 지으신 모든 세계,How Great Thou Art,찬양,1,1,찬송;클래식,1
sg18,선한 능력으로,By Gracious Powers,찬양,2,2,찬송;본회퍼,1
sg19,감사해,Thank You,찬양,1,1,CCM;감사,1
sg20,이 산지를 넘어서,Over the Mountains,찬양,2,2,CCM;소망,1
